Year,LanguageTag,TargetTag,Quantity,ChuyenNganh
2020,python,scikit-learn,3315,Data Science & AI
2020,python,pygame,2907,Game Development
2020,python,jupyter-notebook,2800,Data Science & AI
2020,python,deep-learning,2559,Data Science & AI
2020,python,django-models,2436,Web Backend
2020,python,pytorch,2434,Data Science & AI
2020,python,sqlalchemy,1888,Database
2020,python,django-rest-framework,1876,Web Backend
2020,python,mysql,1802,Database
2020,python,sql,1739,Database
2020,python,seaborn,1714,Data Science & AI
2020,python,pandas-groupby,1616,Data Science & AI
2020,python,docker,1611,DevOps & Cloud
2020,python,django-views,1591,Web Backend
2020,python,postgresql,1528,Database
2020,python,nlp,1516,Data Science & AI
2020,python,plotly,1476,Data Science & AI
2020,python,sqlite,1466,Database
2020,python,plot,1410,Data Science & AI
2020,python,neural-network,1346,Data Science & AI
2020,python,conv-neural-network,1126,Data Science & AI
2020,python,tensorflow2.0,1069,Data Science & AI
2020,rust,traits,257,Data Science & AI
2020,rust,async-await,112,Data Science & AI
2020,rust,trait-objects,30,Data Science & AI
2020,rust,postgresql,27,Database
2020,rust,opengl,19,Game Development
2020,rust,mysql,16,Database
2020,rust,random,14,Web Frontend
2020,rust,mongodb,14,Database
2020,rust,docker,14,DevOps & Cloud
2020,swift,ios,17440,Mobile App
2020,swift,xcode,5773,Mobile App
2020,swift,swiftui,5355,Mobile App
2020,swift,firebase,1502,Database
2020,swift,swift5,880,Mobile App
2020,swift,firebase-realtime-database,354,Database
2020,swift,ios14,328,Mobile App
2020,swift,ios13,296,Mobile App
2020,swift,rx-swift,217,Mobile App
2020,swift,firebase-authentication,207,Web Backend
2020,swift,xcode12,187,Mobile App
2020,swift,swiftui-list,181,Mobile App
2020,swift,xcode11,178,Mobile App
2020,swift,constraints,171,Data Science & AI
2020,swift,swift4,165,Mobile App
2020,swift,swift-package-manager,152,Mobile App
2020,swift,react-native,128,Mobile App
2020,swift,swiftui-navigationlink,128,Mobile App
2020,swift,firebase-storage,125,Database
2020,swift,flutter,120,Mobile App
2020,swift,swift3,106,Mobile App
2020,typescript,angular,10840,Web Frontend
2020,typescript,reactjs,5593,Web Frontend
2020,typescript,node.js,2472,Web Backend
2020,typescript,html,1483,Web Frontend
2020,typescript,typescript-typings,782,Web Frontend
2020,typescript,vue.js,747,Web Frontend
2020,typescript,react-native,722,Mobile App
2020,typescript,typescript-generics,672,Web Frontend
2020,typescript,angular-material,667,Web Frontend
2020,typescript,angular8,591,Web Frontend
2020,typescript,nestjs,585,Web Backend
2020,typescript,firebase,570,Database
2020,typescript,css,568,Web Frontend
2020,typescript,webpack,548,Web Frontend
2020,typescript,express,422,Web Backend
2020,typescript,react-hooks,418,Web Frontend
2020,typescript,angular9,328,Web Frontend
2020,typescript,next.js,247,Web Frontend
2020,typescript,react-redux,235,Web Frontend
2020,typescript,mongodb,201,Database
2020,typescript,async-await,192,Data Science & AI
2020,typescript,angular-reactive-forms,182,Web Frontend
2020,typescript,angular7,170,Web Frontend
2020,typescript,angularjs,160,Web Frontend
2020,typescript,axios,155,Mobile App
2020,typescript,react-router,143,Web Frontend
2020,typescript,create-react-app,138,Web Frontend
2020,typescript,vuejs2,131,Web Frontend
2020,typescript,angular10,122,Web Frontend
2020,typescript,jquery,119,Web Frontend
2020,typescript,postgresql,103,Database
2020,typescript,angular6,101,Web Frontend
2020,typescript,node-modules,97,Web Backend
2020,typescript,react-typescript,97,Web Frontend
2020,typescript,angular-routing,94,Web Frontend
2020,typescript,vuejs3,93,Web Frontend
2020,typescript,vuex,89,Web Frontend
2020,typescript,bootstrap-4,84,Web Frontend
2020,typescript,angular-components,82,Web Frontend
2021,c#,asp.net-core,6007,Web Backend
2021,c#,asp.net,4308,Web Backend
2021,c#,unity-game-engine,4159,Game Development
2021,c#,asp.net-mvc,2699,Web Backend
2021,c#,entity-framework-core,2358,Web Backend
2021,c#,entity-framework,2080,Web Backend
2021,c#,sql-server,1349,Database
2021,c#,azure,1212,DevOps & Cloud
2021,c#,sql,993,Database
2021,c#,asp.net-web-api,854,Web Backend
2021,c#,asp.net-core-mvc,781,Web Backend
2021,c#,async-await,697,Data Science & AI
2021,c#,asp.net-core-webapi,602,Web Backend
2021,c#,html,601,Web Frontend
2021,c#,android,583,Mobile App
2021,c#,azure-functions,536,DevOps & Cloud
2021,c#,mysql,444,Database
2021,c#,mongodb,405,Database
2021,c#,asp.net-core-3.1,366,Web Backend
2021,c#,xamarin.android,357,Mobile App
2021,c#,jquery,353,Web Frontend
2021,c#,ajax,288,Web Frontend
2021,c#,docker,274,DevOps & Cloud
2021,c#,asp.net-identity,271,Web Backend
2021,c#,authentication,271,Web Backend
2021,c#,sqlite,267,Database
2021,c#,angular,251,Web Frontend
2021,c#,asp.net-core-5.0,241,Web Backend
2021,c#,postgresql,237,Database
2021,c#,entity-framework-6,235,Web Backend
2021,c++,opengl,613,Game Development
2021,c++,opencv,576,Data Science & AI
2021,c++,android,227,Mobile App
2021,c++,unreal-engine4,168,Game Development
2021,c++,xcode,157,Mobile App
2021,go,docker,222,DevOps & Cloud
2021,go,mongodb,211,Database
2021,go,postgresql,179,Database
2021,go,kubernetes,162,DevOps & Cloud
2021,go,mysql,138,Database
2021,go,sql,79,Database
2021,go,html,63,Web Frontend
2021,go,aws-lambda,48,DevOps & Cloud
2021,go,docker-compose,45,DevOps & Cloud
2021,go,redis,42,Database
2021,go,dockerfile,38,DevOps & Cloud
2021,go,aws-sdk-go,38,DevOps & Cloud
2021,go,terraform,37,DevOps & Cloud
2021,go,node.js,36,Web Backend
2021,go,azure,35,DevOps & Cloud
2021,go,sqlx,31,Database
2021,go,reactjs,29,Web Frontend
2021,go,amazon-dynamodb,28,Database
2021,go,sqlite,27,Database
2021,go,jwt,27,Web Backend
2021,java,android,12291,Mobile App
2021,java,spring-boot,10752,Web Backend
2021,java,spring,8871,Web Backend
2021,java,android-studio,2864,Mobile App
2021,java,hibernate,2695,Web Backend
2021,java,kotlin,2124,Mobile App
2021,java,spring-data-jpa,1378,Web Backend
2021,java,firebase,1262,Database
2021,java,mysql,1159,Database
2021,java,spring-mvc,1023,Web Backend
2021,java,sql,901,Database
2021,java,jdbc,850,Database
2021,java,spring-security,723,Web Backend
2021,java,postgresql,712,Database
2021,java,android-recyclerview,672,Mobile App
2021,java,firebase-realtime-database,668,Database
2021,java,docker,663,DevOps & Cloud
2021,java,mongodb,642,Database
2021,java,html,535,Web Frontend
2021,java,spring-webflux,498,Web Backend
2021,java,oracle-database,463,Database
2021,java,android-fragments,444,Mobile App
2021,java,spring-data,358,Web Backend
2021,java,flutter,355,Mobile App
2021,java,sqlite,344,Database
2021,javascript,reactjs,35719,Web Frontend
2021,javascript,html,31664,Web Frontend
2021,javascript,node.js,19752,Web Backend
2021,javascript,css,15335,Web Frontend
2021,javascript,jquery,14791,Web Frontend
2021,javascript,typescript,9506,Web Frontend
2021,javascript,vue.js,7675,Web Frontend
2021,javascript,react-native,5495,Mobile App
2021,javascript,angular,5425,Web Frontend
2021,javascript,php,4544,Web Backend
2021,javascript,express,3978,Web Backend
2021,javascript,firebase,3222,Database
2021,javascript,react-hooks,3190,Web Frontend
2021,javascript,ajax,3113,Web Frontend
2021,javascript,mongodb,2616,Database
2021,javascript,next.js,2516,Web Frontend
2021,javascript,axios,1903,Mobile App
2021,javascript,dom,1798,Web Frontend
2021,javascript,webpack,1638,Web Frontend
2021,javascript,async-await,1515,Data Science & AI
2021,javascript,vuejs2,1400,Web Frontend
2021,javascript,django,1369,Web Backend
